0,1,2,3,4,5,6,7,8,9,10,11,12,13
230.25300000000001,636.775,65.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.589,750.793,0.0,230.0,394.79999999999995,2.77,26.16,70.017,25.35,0.0,0.0,0.0,0.0,0.0
3.0100000000000002,9.04,0.0,0.0,712.63,9.251000000000001,3.8810000000000002,173.314,0.0,32.160000000000004,5.83,0.0,0.0,0.0
0.0,0.0,0.0,0.0,90.336,31.78,5.58,127.239,0.55,0.0,7.632999999999999,0.0,0.0,0.0
0.0,0.0,0.0,0.0,68.203,60.525999999999996,2.9330000000000003,147.859,0.0,0.0,26.679,0.0,0.0,0.0
0.0,0.0,0.0,0.0,21.768,78.708,0.067,69.836,0.0,0.0,46.241,0.0,0.0,0.0
0.0,0.0,0.0,0.0,18.34,140.496,0.0,70.77,0.0,0.0,35.05,0.0,0.0,0.0
0.0,0.0,0.0,0.0,86.191,86.892,0.0,74.821,0.0,0.0,30.737,1.9,0.0,0.0
0.0,0.0,0.0,0.0,66.319,30.227999999999998,0.08,29.689,0.27,0.0,0.59,6.56,28.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.122,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,110.7,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.46,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.587,12.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.442,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.341,0.0
